                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93348,                 3.2511,                 1.3873,                0.55839,                0.59616,                0.57407,                0.40308,                 1.1456,                 2.1179,                 1.5336,               0.070034,              0.0033295,              0.0033295
                      1,                 0.8766,                 1.8274,                 1.2904,                0.59003,                0.59534,                0.65432,                0.48212,                 1.0527,                 1.4594,                 1.4587,               0.039901,              0.0065296,              0.0065296
                      2,                0.86657,                 1.4796,                 1.2697,                0.65295,                0.69244,                0.74048,                0.55775,                 1.0227,                 1.1298,                 1.4018,              0.0096342,              0.0095964,              0.0095964
                      3,                0.84901,                  1.308,                 1.2507,                0.72145,                0.75992,                0.77507,                0.55245,                 1.1145,                 1.0868,                 1.4869,              0.0094001,              0.0094001,              0.0094001
                      4,                0.82607,                 1.1777,                 1.2337,                0.69287,                 0.6702,                0.78799,                0.56908,                 1.0873,                 1.1062,                 1.4701,              0.0094001,              0.0094001,              0.0094001
                      5,                0.80092,                 1.0729,                 1.2177,                0.77832,                0.70274,                0.78758,                0.58434,                  1.034,                0.99311,                 1.3979,              0.0092001,              0.0092001,              0.0092001
                      6,                0.78497,                0.99661,                  1.206,                0.71886,                 0.7513,                0.81577,                0.62933,                0.94662,                0.89628,                 1.3147,              0.0090001,              0.0090001,              0.0090001
                      7,                0.77069,                0.94494,                 1.1973,                0.75641,                0.76115,                0.84542,                0.63978,                0.99513,                0.89782,                 1.3644,              0.0088001,              0.0088001,              0.0088001
                      8,                0.75382,                0.87951,                 1.1845,                0.75474,                 0.7972,                  0.863,                0.67961,                0.89841,                0.77147,                 1.2724,              0.0086001,              0.0086001,              0.0086001
                      9,                 0.7424,                0.83532,                 1.1755,                0.77933,                0.78182,                0.85449,                0.65583,                 0.9555,                0.80124,                 1.3437,              0.0084002,              0.0084002,              0.0084002
                     10,                0.73651,                0.80814,                 1.1753,                0.80782,                0.78956,                0.88249,                0.67975,                0.97219,                0.76864,                 1.3314,              0.0082002,              0.0082002,              0.0082002
                     11,                0.72815,                0.77198,                 1.1683,                 0.8402,                0.78773,                0.87644,                0.68318,                0.94036,                0.73613,                 1.3206,              0.0080002,              0.0080002,              0.0080002
